Project,Description,Result_Title,indicator,type_result,Quarter,Status,Modified_Time,ID,value,Type,Implementor,Country,Component
"Harmonising Colombia’s Greenhouse Gas Measurement, Reporting and Verification with the National Inventory for Transparent NDC Tracking.","ICF Consulting conducted an analysis of the data requirements for one of Colombia’s mitigation platforms (RENARE) and identified where interoperability would be necessary to support harmonisation with the other platform (SINGEI). ICF then presented this information, along with the historical context of SINGEI software development by other donors, to the IDEAM team. This information will be transferred to the incoming Capacity-Building Initiative for Transparency (CBIT) team, which will support implementation and advancement of SINGEI in a harmonised manner. 
RENARE and SINGEI are related but independent MRV systems that would ideally work together and share data to reduce the reporting burden for entities and ensure alignment of information and accounting. To date, the systems have been developed independently. ICF Consulting's efforts inform where the systems should be interoperable at the beginning of their development, which helps mitigate the risk for future retroactive actions to align the two platforms. This effort was designed to ensure additionality of HMG investments. ICF Consulting conducted stakeholder consultations to understand previous and future investments in platform development and developed this analysis of data requirements to avoid duplication with USG or CBIT funded activities. ",Software requirement specifications and wireframes for the new module of the SINGEI system,Output 3.1. 'Knowledge product developed',Output,2020 Q1,Approved,05-Jun-2020 09:34:56,3814659000000451031,1,In_reported,ICF Consulting Services,Colombia,Component 1: bilateral programme fund
"Harmonising Colombia’s Greenhouse Gas Measurement, Reporting and Verification with the National Inventory for Transparent NDC Tracking.","ICF Consulting first contacted the Ministry of Environment and Sustainable Development and IDEAM in July 2019 to identify priority mitigation activities which required harmonisation with the national inventory. After that, ICF completed a GHG Harmonisation Analysis of mitigation activities and boundaries and delivered a first draft of the report in October 2019. A second in-country mission was conducted in November 2019 for additional stakeholder consultation and data collection, after which the draft was revised. The GHG Harmonisation Analysis and Recommendations report was finally delivered in November 2019 , and included recommendations for improving harmonisation of four mitigation actions (NAMA)  with the national inventory: Energy, Industrial Processes, Waste, and AFOLU (Agriculture, Fishery, and Other Land Uses) sectors.",MRV harmonisation analysis,Output 3.1. 'Knowledge product developed',Output,2019 Q4,Approved,05-Jun-2020 09:35:32,3814659000000451023,1,In_reported,ICF Consulting Services,Colombia,Component 1: bilateral programme fund
Colombia Climate Finance Accelerator Follow-Up,"The kick-off workshop took place on November 19th, 2019, during the Colombian Climate Finance Event hosted by the Department of National Planning. The workshop had a duration of half a day and was attended by 50 people from the national government, private sector, international and local banks (Bancolombia, Bancoldex, BNP Paribas, Banco Agrario), and non-profit organizations. 
The first half of the workshop featured presentations on Colombia’s national climate goals, the CFA initiative process, and the concept of blended finance and the climate finance supply chain. In particular, this part of the workshop featured presentations from Carolina Diaz, the Deputy Director for Risk Management and Climate Change at DNP, who presented on Colombia’s national climate goals; from Marie-Justine Labelle, on behalf of PwC, on blended finance; and from several representatives of financial institutions which provided examples of climate projects which have been funded with blended mechanisms. 
The second half of the workshop consisted in small group discussions organized by sector and facilitated by members of the CFA consortium and financial experts. Each group discussed financing challenges and opportunities unique to their sector. 
Through these discussions, the consortium identified a short-list of 16 projects suitable for the CFA.  In the weeks which followed the kick-off workshop, the project continued in communication with the short-listed organisations and finally selected 10 of them to receive full support.  
The kick-off workshop provided an opportunity to educate a broader group of project developers on blended finance. We were also able to increase the visibility of the CFA program and the work of UK PACT in Colombia, as the kick-off was part of a national event attended by many stakeholders. The breakout innovation sessions allowed members of the CFA consortium to better understand the status of projects submitted in the open call and more generally the common challenges across the sectors. This informed the design of the coaching webinars and the distribution of the projects for the final workshop. ",Two-day kick-off workshop ,Output 1. 'Training of key actors',Output,2019 Q4,Approved,05-Jun-2020 10:32:06,3814659000000449003,1,In_reported,The Climate Group (TCG),Colombia,Component 1: bilateral programme fund
Colombia Climate Finance Accelerator Follow-Up,"A three-day final CFA workshop was conducted in Bogota between 4th and 6th March 2020. The number of attendees has not been confirmed. 
This final workshop was the result of all the coaching work conducted between November 2019 and February 2020 with the 10 selected projects. These participated in four brief coaching webinars whose final objective was to improve the technical capacities of the project personnel in preparing project quality term sheets and prepare them for this final workshop. Each coaching session focused on different sections of the term sheet: due diligence, financial details, risks, and final presentation.  
This final workshop consisted in two public sessions and closed ‘deep dive’ sessions. Regarding the public sessions, the workshop secured  the participation of four strategic offices of the Colombian national government: Department of National Planning, Ministry of Treasury and Public Credit, Ministry of Environment and Sustainable Development, and Colombia Productiva in the Ministry of Commerce, and Industry and Tourism.  With respect to the deep dive sessions, at least two consortium representatives attended each of the deep dive groups. In these sessions project developers were paired with financial institutions, to make the discussions more productive. 
Banco Agrario and private equity houses participated in these sessions. 
After the workshop, both partner banks and project sponsors reported that the experience was meaningful, and the latter also considered that the sessions have helped them understand and improve their financial structures and presentations to potential financial institutions. 
This training workshop was intended to improve the bankability of the participating projects and the capacity of the project proponents to access innovative finance, such as blended finance. The 2-3 hour sessions for each project with financial experts were of utmost importance because it allowed for deep analysis of the project financial structure and for discussion amongst the financial experts about the merits of the project and the potential financing mechanisms that might be applicable. The workshop successfully provided specific and relevant feedback for each participating project and all project proponents incorporated the feedback into their final presentations in the public closing session. Additionally, the project developers noted that they had learned how to present their projects in a clearer way and tailor their presentations to their audience. This will prepare them to pitch their projects more effectively to financial institutions. It was important to have closed, in-person sessions because the small groups and private environment enabled project proponents to disclose confidential details of their projects that allowed the financial experts to better assess which financial structure or mechanisms would be best suited to that project. ",Three-day CFA workshop,Output 1. 'Training of key actors',Output,2020 Q1,Approved,05-Jun-2020 10:32:32,3814659000000449019,1,In_reported,The Climate Group (TCG),Colombia,Component 1: bilateral programme fund
Colombia Climate Finance Accelerator Follow-Up,"Due to the emergency created by Covid-19, the one-day meeting with government stakeholders had to be substituted by independent phone calls whenever those stakeholders were available. 
The focus of the calls was however the intended one: to discuss the strategies recommended by the CFA consortium to build on the experience and lessons learnt from the CFA process and convert it into a more permanent initiative/platform embedded in the Colombian government which can trigger the growth of the pipeline of climate projects in the country. The final goal would build on the success of the pilot CFA and to continue to address the gaps identified in the enabling environment to facilitate the growth of the project pipeline. A permanent CFA process would support more climate project developers to improve the bankability of their projects and facilitate more connections to financial institutions willing to fund such projects. 
The feedback call with representatives from DNP and the Ministry of Environment informed the design of the recommended structure for an ongoing CFA process in Colombia. It also gave the CFA consortium an opportunity to communicate the major takeaways from the process to the government. ",One-day meeting with government stakeholders ,Output 2.2. 'Recommendation proposed for other actions',Output,2020 Q1,Approved,05-Jun-2020 10:32:55,3814659000000449023,1,In_reported,The Climate Group (TCG),Colombia,Component 1: bilateral programme fund
Colombia Climate Finance Accelerator Follow-Up,"A series of communication products have been generated and shared with the project participants as a result of  the CFA webinars and final workshop, for them to use as they find it convenient: i) the recording of the coaching webinars and the slide presentations, ii) the project quality term sheet template, and iii) the slide presentations of the CFA workshop on blended finance, the climate finance supply chain, lessons learned, and outcomes of the deep-dive sessions.
These products were intended for project participants, workshop attendees, and participating financial experts. They were important to clearly lay out the requirements of a term sheet and what would be needed from all participants during the final workshop. Mainly the purpose was for the education of project proponents and to ensure the effectiveness of the final workshop. 	
",Communication products as a result of CFA workshop,Output 3.2. 'Communication product disseminated',Output,2020 Q1,Approved,05-Jun-2020 10:33:23,3814659000000449035,1,In_reported,The Climate Group (TCG),Colombia,Component 1: bilateral programme fund
Colombia Climate Finance Accelerator Follow-Up,"The Colombian government has mentioned that they have plans to extend the CFA process and that they better understand the existing gaps and needs because of the CFA initiative. They are currently considering working on this through the Finance Committee of SISCLIMA. 
If this were to happen, this would allow more projects to receive early development support and access to financial institution input, improving their bankability and options for financing. This in turn will increase the private sector contribution to the Colombian NDC and the leverage of blended finance to close the climate finance gap. ",Establishment of a permanent CFA process,Int. Out 3. 'Adoption of recommendation for other action',Intermediate Outcome,2020 Q1,Approved,05-Jun-2020 10:33:43,3814659000000449039,1,In_reported,The Climate Group (TCG),Colombia,Component 1: bilateral programme fund
Colombia Climate Finance Accelerator Follow-Up,"Up to the first quarter of 2020, 10 projects significantly improved the financial structure and presentation of their projects and made connections with multiple financial institutions. At least 3 projects have been contacted by financial institutions for follow-up discussions since the final workshop. 
All of the participating projects cited the lack of access to financial institutions as a major barrier to finding financing for their projects. Creating platforms to connect project developers with financial institutions is half the battle. The fact that one-third of the projects presented at the workshop received additional interest from the participating financial institutions proves that there are viable climate projects that could be funded if given the opportunity to make those connections. It also shows that the projects improved their bankability and chances of financing through the CFA process. 

",Projects improve their structure and presentation,Int. Out. 1 'Enhanced action because of training',Intermediate Outcome,2020 Q1,Approved,05-Jun-2020 10:34:01,3814659000000477023,1,In_reported,The Climate Group (TCG),Colombia,Component 1: bilateral programme fund
Colombian Climate Asset Disclosure Initiative (CCADI),"Based on the findings of the 'Barriers Report' and the related ranking of investors, a series of recommendations for improvement in investment practice were shared with the engaged institutional investors and asset owners. The recommendations were grouped around the five key areas on which the ranking was created. 
1) General knowledge about climate change risks: institutional investors should develop new hiring criteria based around climate change knowledge; train internal teams on climate change impact; and strengthen macroeconomic/financial forecasts in line with climate change impacts
2) Governance: they should  formulate a climate intelligent organizational mandate, as well as  establish an organisational structure to identify relevant management and reporting responsibilities with respect to climate. 
3) Strategy: investors should identify and quantify climate risks within asset profit generation activities, define and adopt climate-related principles and develop a climate sensitive strategy, as well as to communicate to their interest groups about the development of a climate intelligent strategy.
4) Risk Management: investors should undertake capacity building activities in order to understand, identify and quantify climate change risks, and disclose the risk management approach around climate change
5) Metrics and targets: they should define climate change related milestones and objectives, adopt a taxonomy which facilitates investment analysis around the established goals, and disclose the adopted metrics both internally and externally. ",Recommendations for improvement in investment practice,Output 2.2. 'Recommendation proposed for other actions',Output,2020 Q1,Approved,05-Jun-2020 11:20:41,3814659000000460003,1,In_reported,Transforma,Colombia,Component 1: bilateral programme fund
Colombian Climate Asset Disclosure Initiative (CCADI),"A 'Barriers Report' was produced in the second quarter of 2019, detailing the key barriers for climate-smart investment in Colombia for institutional investors (with a focus on large asset owners). The key identified barriers are: i) lack of reliable ESG information; ii) lack of knowledge about the value added around climate change information for business; iii) no homogenous criteria for climate intelligent investments; iv) minimum remuneration and profitability scheme; v) shallow financial landscape in Colombia, vi) limited portfolio innovation, vii) oil-dependency of Colombia’s productive strategy; viii) lack of regulatory leadership; xix) few ESG capacity building workshops, and x) fear of limiting the investment universe. 
Stakeholders received the report well and mostly agree with the barriers identified. Stakeholders recommended linking CCADI activities with the Responsible Investment Taskforce and other institutional investors associations, in order to join efforts and align capacity building workshops that have the purpose of overcoming the barriers identified in the report.
This report became the basis for the development of an anonymous investors ranking, which compared 23 institutional investors (19 insurance companies and 4 pension funds) across five key categories: i) general knowledge of climate related risks,  ii) governance, iii) strategy, iv) risk management, and v) metrics and targets. The ranking allowed investors to identify themselves and compare themselves to the rest of the market. The ranking was shared among investors on February 13th, 2020 and it is expected it will serve to improve transparency and promote the inclusion of climate related risks and opportunities within the investing strategies of the financial sector in Colombia. 
The 'Barriers Report' is also the basis of the tailored recommendations to investors to enhance their decision-making in line with climate objectives. ",Barriers Report,Output 3.1. 'Knowledge product developed',Output,2019 Q2,Approved,05-Jun-2020 11:21:00,3814659000000049023,1,In_reported,Transforma,Colombia,Component 1: bilateral programme fund
Colombian Climate Asset Disclosure Initiative (CCADI),"The first workshop with UK organizations with similar experiences took place in London (ShareAction’ office: 16 Crucifix Lane SE1 3JW - London) between 29 to 30 April 2019. 
The second workshop took place in London (ShareAction’ office: 16 Crucifix Lane SE1 3JW - London) between the 20th and 24th of January 2020. There were 12 attendees from Colombia, in particular from BVC, Asofondos, Fasecolda, La Previsora, La Equidad, Protección, Porvenir and Colfondos.
UK speakers included representatives from: PWC, 2 Investment initiative, Green Finance Initiative, BlackRock, Royal London, Transition Pathway Initiative, Share Action, Inevitable Policy Response, Client Earth, Sackkers, Legal and General, MSCI, Mark Thompson and BEIS.",UK- Colombia network	,Output 4. 'Network created/strenghtened',Output,2020 Q1,Approved,05-Jun-2020 11:22:06,3814659000000369159,1,In_reported,Transforma,Colombia,Component 1: bilateral programme fund
Systemic perspectives on low-carbon cities in Colombia – An integrated urban modelling approach for policy and regulatory analysis.,"Since the beginning of the project, a constant group of 21 researchers have been developing a research line on sustainable urbanism. 
These researchers hold periodical meetings and informal technical workshops, to which they often invite external experts for discussion and knowledge-sharing on the matter. 
Some of the key meetings held by this network of researchers are: 
1) Five meetings with the Advisory Committee and with the Institutional Committee, where important feedback was shared. 
2) A large workshop (June 28th, 2019), with more than 40 attendees whose goal was to identify main barriers and opportunities to implement low-carbon practices in the building sector. 
3) Five smaller workshops (between 10 and 25 people) with invited experts from the academia, Medellin's Planning Office, Bogotá's Planning Office, urban development sector, and urban ecology sector, among others. 
The technical meeting with the new team from Bogotá's Planning Office focused on the indicators proposed for the Territorial Management Plan, and the sustainable vision for urban water management and urban ecosystems. 
4) Bilateral meetings with the Ministry of Environment to better understand the local context, as well as their expectations regarding this project.  For example, one meeting focused on discussing the 'BiodiverCities' national initiative and the possibility of synergies between this project and the national initiative. ",Research network on sustainable urbanism,Output 4. 'Network created/strenghtened',Output,2019 Q3,Approved,05-Jun-2020 11:52:46,3814659000000049019,1,In_reported,Universidad de los Andes,Colombia,Component 1: bilateral programme fund
Innovative financial mechanisms for the transition to cleaner bus fleets in Colombia,"Throughout its research activities, WRI provided technical recommendations to support the development of a new tender process for the Phase V of Transmilenio. The recommendations mainly focused on the development of the technical terms of the tender process, clarifying the investment model and recommending an alternative for the participation of utilities in the procurement of the electric buses and their charging infrastructure. ",Recommendations for the tender process of the phase V of Transmilenio,Output 2.2. 'Recommendation proposed for other actions',Output,2019 Q4,Approved,05-Jun-2020 12:16:51,3814659000000452051,1,In_reported,World Resources Institute	,Colombia,Component 1: bilateral programme fund
Innovative financial mechanisms for the transition to cleaner bus fleets in Colombia,"The report was submitted to Transmilenio during the last quarter of 2019. The report included i) an electric articulated and bi-articulated market research and cost analysis, ii) research on the infrastructure requirements characterization for the selected electric vehicles, and iii) an environmental and impact assessment of the deployment of electric buses. 
The project also submitted the first component of the report (market research and cost analysis on electric articulated and bi-articulated vehicles) and the related database to the Ministry of Transport. ",Report summarising findings from research activities,Output 3.1. 'Knowledge product developed',Output,2019 Q4,Approved,05-Jun-2020 12:17:25,3814659000000452039,1,In_reported,World Resources Institute	,Colombia,Component 1: bilateral programme fund
Innovative financial mechanisms for the transition to cleaner bus fleets in Colombia,"The recommendations proposed were incorporated into the tender process of the Phase V of Transmilenio. According to Santiago Briceño, since the beginning of January 2019, the UK Sustainable Infrastructure Programme (UK SIP) supported Transmilenio in the structuring of the financial component of the tender process for Phase V. The work was channelled through their delivery partner, the Inter-American Development Bank (IADB). The UK PACT programme (Partnering for Accelerated Climate Transitions) then continued the work through their implementing partners: the World Resources Institute and Clean Energy Works. They further developed the technical terms of the tender process, to clarify the cost structure of investments in the new electric bus fleet. With this smart financial and technical cooperation, Transmilenio successfully attracted different transport companies to make their bids. 
They publicly recognised the support at https://twitter.com/TransMilenio/status/1195039893803687936 ",Bogota city adopts a new model for the full electric deployment of phase V of Transmilenio,Int. Out 3. 'Adoption of recommendation for other action',Intermediate Outcome,2019 Q4,Approved,05-Jun-2020 12:17:59,3814659000000452055,1,In_reported,World Resources Institute	,Colombia,Component 1: bilateral programme fund
Innovative financial mechanisms for the transition to cleaner bus fleets in Colombia,"On November 14th, 2019, Transmilenio announced that Bogota would be receiving 379 new electric buses in 2020. Shortly after, TransMilenio announced the procurement of another 104 e-buses, bringing the total number of procured e-buses to 483. The buses will be operating in the Usme and Fontibon areas of Bogota (low income neighbourhoods), on SITP provisional routes, which connect the wider Transmilenio network. This is a first step in Bogota’s drive to renew its existing bus fleet – 2655 vehicles – with new vehicles that consider sustainable mobility criteria. 
The support offered by WRI through UK PACT in this process was acknowledged at 
https://twitter.com/TransMilenio/status/1195039893803687936 ",Deployment of a number of electric buses  in Transmilenio Phase V,Outcome 2. 'Recommendation implemented',Outcome,2019 Q4,Approved,05-Jun-2020 12:18:17,3814659000000452059,1,In_reported,World Resources Institute	,Colombia,Component 1: bilateral programme fund
Colombia outward skillshare: Mission for Energy Transformation,"Recommendations and technical advice were provided throughout the 4 days of technical discussions. This included pushing for decarbonisation to become the overarching objective for the Mission, as well as challenging some assumptions and Mission plans and 'opening their eyes' to what was possible'. In a post skill-share survey completed by 4/5 participants, all agreed that they had chance to provide helpful advice to partners in how they shape and implement the policy reform, and were able to describe alternative views of what might be possible that were of interest to beneficiaries. 75% of participants agreed that Colombian counterparts were willing to challenge their thinking based on the discussions.",Recommendations on improving the Mission for Energy Transformation's roadmap,Output 2.1. 'Recommendation proposed for policy/legislation',Output,2019 Q4,Approved,05-Jun-2020 13:32:45,3814659000000366015,1,In_reported,BEIS,Colombia,Component 3: skills shares
Unlocking the Colombian government fund FENOGE to provide energy access whilst reducing greenhouse gas emissions ​,"A capacity-building workshop was delivered in Bogotá on July 12th, 2019.
A total of 40 participants from public and private sector attended the training, including: FENOGE, UPME, IPSE, CREG, FINDETER, CECIL and Renewable Energy and Energy Efficiency project developers. 
The focus of the training was on how to use the tools and frameworks developed by CT and reviewed by FENOGE. The training also created a space to share learnings from other relevant energy access and energy efficiency projects carried out by the Carbon Trust in other relevant countries. 
During the training, participants were also given the opportunity to provide feedback on the tools and materials. In particular, feedback received from UPME and FINDETER was incorporated into the final version of the tools. 	
",Capacity building on the use of tools,Output 1. 'Training of key actors',Output,2019 Q2,Approved,05-Jun-2020 13:47:46,3814659000000060151,1,In_reported,Carbon Trust,Colombia,Component 1: bilateral programme fund
Mexico inward skillshare: Carbon budgets and climate strategy,"The training and the transfer of knowledge contributed to ICM’s development of activities under its bilateral project. In fact, the knowledge gained triggered the development of a study of best international practices and the provision of recommendations on the carbon budget and the sectoral decarbonization pathways approach by the governments of the states of Mexico City, Jalisco, and Guanajuato. ",Incorporation of knowledge into activities of ICM,Int. Out. 1 'Enhanced action because of training',Intermediate Outcome,2019 Q3,Approved,05-Jun-2020 15:26:10,3814659000000493007,1,In_reported,Iniciativa Climatica MX	,Mexico,Component 3: skills shares
Green private finance for the development of smart cities,"Two of the nine projects have already reached some financial disbursement:
1) Biological Mechanical Waste Treatment Plant. The City of Naucalpan has already invested in some pre-investment activities, regulatory procedures, and other due diligence requirements, all consider as pre-investment disbursement, but essential on a PPP Project and gaining confidence to the market from a risk share perspective
2) Smart cycleway system, including a mobile application and data centre. The city of Zapopan has already started construction under the project to expand the system of cycleways. Also, the municipality is under a pilot phase of generation of additional incomes (to be spent for maintenance of cycleways) from regulation of micro-mobility solutions companies, which includes tariffs and charges, as part of the business model of the project. Also funding, has been secured from the government (under COVID reactivation incentives).
Having two cities being able to access to financial disbursement for low carbon projects is a prove that the approach and the process has been effective in supporting Mexican Municipalities and that the methodology to select and mature project proposed from IDOM has the potential to be escalated. ",Accelerate mobilization of green private capital,Outcome 4. 'Finances invested',Outcome,2019 Q4,Approved,06-Jun-2020 13:30:54,3814659000000483015,0,In_reported,IDOM,Mexico,Component 1: bilateral programme fund
Green private finance for the development of smart cities,"Throughout the project, IDOM has established good collaboration and a closed circle of trust among stakeholders in the financial ecosystem. Additional to the assistance provided, in the form of studies and training, IDOM also played the role of project manager and coordinator of for initiatives. In collaboration with the UK embassy, we IDOM has built the following strategic networks that have had great relevance in the delivery and the success of the projects:
1) IDOM has joined the Coalition for Urban Transitions and actively participated as a member of it. Organizations: WRI Mexico / IDOM
2) Synergies with other project implementers of Green Finance UK PACT Projects (Carbon Trust, MÉXICO2, GFLAC, WRI) e.g. open dialogue with ARUP for the PRORESOL/BANOBRAS renewal, participation in ESG training webinar from MÉXICO2, sharing knowledge with ICM Bono Solar
3) IDOM’s alliance with BANOBRAS, IADB, and beneficiary cities. Together are implementing a new ESG methodology from IADB to feed the Mexican Web Platform of Infrastructure Projects from BANOBRAS.  
4) Collaboration and agreed synergies with 15 partners and experts through shared efforts on the activities to prepare projects to finance, some of the theme: GGGI, GIZ, FMO, IADB, University of Guadalajara, AMENESCO, ICM, TNC)
5) IDOM has offered ARUP experience and contacts in the field of Municipal Waste Management for the renewal of PRORESOL (Municipalities Solid Waste Management Programme). Since IDOM is currently working with Waste Management projects in Naucalpan, Hermosillo, and Valle de Bravo, our experience and fieldwork might be useful for the challenging task of updating the PRORESOL. Available information generated by IDOM has been shared with ARUP and IDOM is open for providing additional support.",Network to close the gap,Output 4. 'Network created/strenghtened',Output,2019 Q4,Approved,06-Jun-2020 13:33:20,3814659000000483011,1,In_reported,IDOM,Mexico,Component 1: bilateral programme fund
Green private finance for the development of smart cities,"Mapping, categorization, and analysis of a total 213 available financial products and services from 17 financial institutions (commercial, development, and niche banks and funds). Among these, 12 products were labelled as green according to the main international standards and 47 show the potential to become. There are 91 products studied on the market that are directly applicable to cities, 38 of which are potentially green, that is, they finance green technology or infrastructure projects without having any specific label or distinction.
From this research IDOM interviewed financial stakeholders which contributed to raising interest on projects and future pipelines and to create synergies among financial institutions.
By the time this output was released, there was no other similar study for the Mexican Market, so it created a precedent in its kind, and that was acknowledged by renowned financial institutions when socialized. It is important as it contains a full range analysis of existing financial products available in the Mexican market with special focus on those prone to be labelled as green and that could be accessible for governments at a state and municipal levels to finance green projects. During the implementation of our assistance to cities, it helped to identify the potential mechanisms and sources of finance to the cities projects and raised interest among financial stakeholders.",Identification of green finance products available in the market ,Output 3.1. 'Knowledge product developed',Output,2019 Q2,Approved,06-Jun-2020 13:33:45,3814659000000053049,1,In_reported,IDOM,Mexico,Component 1: bilateral programme fund
Mexico inward skillshare: Carbon budgets and climate strategy,"Training conducted through meetings with academics (UCL) government officials (BEIS Carbon Markets team, Committee on Climate Change) and other stakeholders (Grantham Institute, Green Alliance). 
Meetings held over 3.5 days but not everyone attended, resulting in 17.5 person-days of training. 
The skill-share involved the implementors of the '2030 Decarbonisation Pathways' bilateral project and was undertaken to support the project's implementation.",Transfer knowledge from UK experts to achieve political consensus in carbon budgets,Output 1. 'Training of key actors',Output,2019 Q3,Approved,06-Jun-2020 14:20:52,3814659000000289027,1,In_reported,Iniciativa Climatica MX	,Mexico,Component 3: skills shares
Mexico inward skillshare: Carbon budgets and climate strategy,"Presentations, consultations, and reports were shared by UK stakeholders to the visiting Mexico delegation following meetings had during the skill-share. These include:
- Presentation delivered by Green Alliance
- Presentation was given by BEIS on Net Zero and Clean Growth
- Presentation delivered by the Committee on Climate Change
- Links from BEIS Carbon Capture Use and Storage (CCUS) team on CCUS consultation documents and reports","Presentation, consultations and reports shared between UK stakeholders and visiting delegation",Output 3.2. 'Communication product disseminated',Output,2019 Q3,Approved,06-Jun-2020 14:21:15,3814659000000289031,1,In_reported,Iniciativa Climatica MX	,Mexico,Component 3: skills shares
Solar bonus programme development and pilot implementation plan​,"Hogares Solares Programme’s working group has been created with Deloitte, GIZ, and ICM. Thus far, the working group has assessed and promoted the financial viability of the Pilot Project in Baja California, Sonora, and Mexico City. ",Working group and a coordination platform,Output 4. 'Network created/strenghtened',Output,2018 Q3,Approved,06-Jun-2020 14:50:16,3814659000000359349,1,In_reported,Iniciativa Climatica MX	,Mexico,Component 1: bilateral programme fund
Strengthening the Legislative-Executive-Stakeholder dialogue on Mexico's climate change and energy goals,"Following up on different activities with the support of POLEA, on 2019 the Income Law was reformed to give a fiscal exemption of 30% to the primary sector, including community forestry companies. This was a big first step toward financial benefits of forestry communities, but as there are still issues to advance, POLEA kept working with Deputy Irma Juan Carlos to advance the issue, materializing in her commitment to a formal presentation of the fiscal initiative in the Legislative Branch and its analysis in September 2020. The achievements of these legal reforms represent financial mechanisms to support climate change mitigation and adaptation actions since community forest management, by assuring a sustainable use of forests, contribute to these actions.                                                                         ",Legal reforms implemented,Outcome 2. 'Recommendation implemented',Outcome,2019 Q4,Approved,06-Jun-2020 15:16:59,3814659000000494003,1,In_reported,Polea,Mexico,Component 1: bilateral programme fund
Strengthening the Legislative-Executive-Stakeholder dialogue on Mexico's climate change and energy goals,"By having led multiple activities with several legislators and their advisers, POLEA’s works have contributed to increasing the capacity of the legislators for them to push relevant proposals oriented to mitigate emissions into the Mexican legislative agenda. The recommendations and networks created by the project have increased the legislators’ interest and commitment in the sectors that the project focused on.  Moreover, the different outputs have had a direct impact on the ambition and actions shown by some of the legislators that have been actively participating in the project’s activities. Some examples of the increased capacity to position climate change into the legislative agenda are listed below:
1) Deputy Julieta Macías Rábago, Secretary of the Directive Board, and Deputy Nayeli Fernández Cruz, Secretary of the Energy Commission (both active in POLEA’s activities) have proposed alternatives to incorporate renewable energies in the legislative agenda and have also worked on engaging other legislators from their political party to support these initiatives.
2) After having participated in POLEA’s activities, Senator Victor Fuentes, President of the Urban Development, Land Management and Housing Commission, has organized several workshops to address environmental issues in Nuevo León, his represented State.
3) Following up on the activities on Sustainable Forest Management, Deputy Irma Juan Carlos, President of the Indigenous Peoples Commission, has had a key role in the meetings to develop a proposed reform to address the negative tax conditions Mexican forest communities currently have. The support of Mexican forest communities has direct positive implications in emissions reductions.
4) Deputy Roberto Rubio, President of the Environment, Sustainability, and Climate Change Commission (also an active participant in POLEA’S activities) asked for POLEA´s advice for his participation during COP 25 held in Madrid. 
5) After the High-Level forum on Waste, Deputy Silvia Garza, presented the main results and issues identified to the Energy Ministry in a meeting with the Head of the Renewable Energy Unit, Luis Abelardo.",Increased political will and action,Outcome 1. 'Increased capacity for relevant organisations',Outcome,2019 Q4,Approved,06-Jun-2020 15:17:21,3814659000000480027,1,In_reported,Polea,Mexico,Component 1: bilateral programme fund
Strengthening the Legislative-Executive-Stakeholder dialogue on Mexico's climate change and energy goals,"Some of the activities implemented by POLEA have resulted in the adoption of relevant recommendations for policy and or legislation. For example:
1) Deputy Nayeli Fernández Cruz, Secretary of the Energy Commission, who has participated in different activities from the project recently presented a proposal to reform the Energy Transition Law for Federal government buildings to generate electricity from renewable sources. This reform was approved in the Chamber of Deputies and is now up to vote in the Senate.
2) In June 2019, Senators Eduardo Murat and Susana Harp presented reforms to the Forest Law to harmonize some definitions with international standards and strengthen issues such as the management of secondary vegetation also known as “acahuales” and the prohibition of change in the use of soil in forest land near cities. These reforms with tangible impacts in the fight against climate change were supported by POLEA by the facilitation of multi-sectoral dialogues with the various stakeholders, particularly civil society organizations and legislators. This proposal was approved recently and published in the Official Journal of the Federation.
3) Following up on different activities with the support of POLEA, on 2019 the Income Law was reformed to give a fiscal exemption of 30% to the primary sector, including community forestry companies. This was a big first step toward financial benefits of forestry communities, but as there are still issues to advance, POLEA kept working with Deputy Irma Juan Carlos to advance the issue, materializing in her commitment to a formal presentation of the fiscal initiative in the legislative branch and its analysis in September 2020. The achievements of these legal reforms represent financial mechanisms to support climate change mitigation and adaptation actions since community forest management, by assuring a sustainable use of forests, contribute to these actions.                                            
4) Deputy Priscila González presented a reform proposal to the Chamber of Deputies on gender and mobility that was presented in the executive study elaborated by POLEA as one of the outputs of ""Document with legal proposals and analysis on MOBILITY"" .
The adoption of these recommendations is not just a result that should contribute to Mexico in the medium term. In some, POLEA has been able to trigger immediate results in terms of helping processes that result in the drafting and even approval of specific legislation that addresses climate change actions.",Strengthening legislation,Int. Out 2. 'Adoption of recommendation for policy/legislation',Intermediate Outcome,2019 Q4,Approved,06-Jun-2020 15:17:44,3814659000000480023,1,In_reported,Polea,Mexico,Component 1: bilateral programme fund
