"","Project","Description_new","Result_Title","Indicator","type_result","Quarter_reported","Status","Modified_Time","ID","count","Type","Description","Project.Lot","Project.Start_Date","Quarter_expected","Was_expected","Element","Sort","Implementor","Country","component","ID_Project","Project_QA"
"136","UK-China Green Finance Programme","Q2 2019
On the 17th of June 2019, the project formally established a set of voluntary Green Investment Principles (GIP) which aim to contribute to the greening of infrastructure and other investments along the Belt and Road Initiative (BRI). Institutions who ratify these principles voluntary agree to share their knowledge and collectively raise ambition for green, low-carbon and climate-resilient investment. The principles were publicly announced during the 10th UK-China Economic Dialogue at Mansion House.
The fundamental issue that the GIP are trying to address is the environmental and climate impact of economic infrastructure under China's BRI. The GIP were co-designed by the UK and China – acting both as a vehicle for implementation and a platform for addressing issues that have been raised on BRI countries. 
GIP's importance and transformative potential rests in:
• Leadership. GIP are China's first financial initiative for greening investment. Moreover, the co-participation of the UK in its design gives the country the ability to influence and support implementation of policy on green finance.
• Strong and diverse membership. GIP signatories are the largest financiers of BRI projects - this includes China's policy banks (China Development Bank and Export-Import Bank of China) and the state-backed Silk Road Fund. Supporting global institutions, including the UN PRI, CDP, World Economic Forum and the Big 4 professional advisory firms, are also engaged and bring technical and advisory expertise to the GIP.
• International alignment. GIP align strongly to other international standards and principles, which allow them to draw on analytical frameworks and tools already developed, for unified sustainable infrastructure investment mechanisms along the BRI.
Q3 2019
In order to professionalize the GIP and support the adoption and implementation of the principles, a Pilot Secretariat and three separate working groups (Climate and Environmental Risk Assessment, Climate and Environmental Information Disclosure, Green Financial Product Innovation) were established in August 2019.  Professionalising and adequately resourcing the GIP Secretariat will ensure it is equipped to manage a growing membership base. 
Q2 2020
The first Steering Committee took place in April 2020, were the adoption of a formal GIP Governance Structure, which outlines roles and responsibilities of the Secretariat, Steering Committee and Working Groups were established.
Q3 3030
At the second Steering Committee (July 2020), the essential elements of the GIP future strategy were endorsed. The GIP also welcomed the World Economic Forum in joining the Secretariat.  ","Publication of GIP voluntary principles on ESG & sustainability","Output 2.2. 'Recommendation proposed for other actions'","Output","2019 Q2","Approved","21-Oct-2020 16:03:52","3814659000000281185",1,"In_reported","Publication of a series of GIP voluntary principles on ESG and sustainability along the Green Belt and Road for infrastructure investments.","Component 1: bilateral programme fund","20-Dec-2018","2019 Q3",TRUE,"Output 2: Recommendations proposed",2,"City of London","China","Component 1: bilateral programme fund","3814659000000044099","Yes"
"137","UK-China Green Finance Programme","Q1 2020
Up to the end of the first quarter of 2020, a total of 35 institutions signed their voluntary commitment to be subject to the Green Investment Principles. Among others: Ant Financial, BMCE, Bank of Africa, Xinjiang Goldwind Science & Technology, Bank of Bangkok, BNP Paribas, Commerzbank, Société Générale, Ping An, and China Merchants Group.
Q3 2020
During the third quarter of 2020, two additional institutions signed their voluntary commitment to be subject to the Green Investment Principles, for a total of 37.","Signatories to Green Investment Principles","Int. Out 3. 'Adoption of recommendation for other action'","Intermediate Outcome","2020 Q3","Approved","21-Oct-2020 16:34:37","3814659000000281189",1,"In_reported","Signatories of the voluntary Green Investment Principles","Component 1: bilateral programme fund","20-Dec-2018","Currently unknown",TRUE,"Intermediate Outcomes",5,"City of London","China","Component 1: bilateral programme fund","3814659000000044099","Yes"
"138","UK-China Green Finance Programme","Q1 2020
During the first quarter of 2020, a preliminary assessment survey was sent to all 35 signatories to measure current progress on the implementation of the principles. Half the signatories responded to the survey, and preliminary results showed many GIP institutions were already using the principles.
Q3 2020
During the second quarter of 2020, the GIP Steering Committee endorsed a governance framework, which set up minimum expectations for signatories, and included an annual reporting requirement backed by an enforcement mechanism. The GIP Annual Reporting is based on a 41-questions questionnaire based on TCFD, circulated to all signatories, and which covers the following topics: Governance & Strategy, Risk Assessment & Management, Investment & Corporate Footprint, and Engagement & Disclosure. Reporting aims to promote accountability among signatories and enable benchmarking against peers. The goal is to reinforce the GIP’s credibility and allow for tracking of progress against medium-term objectives.
Results from the GIP 2020 Annual Report were published on September 24th, 2020. Out of the 37 signatories, 28 reported against the questionnaire this year. Results were evaluated for 23 of those institutions. Key results show that: 
i) Most signatories acknowledge E&S issues and related risks in corporate governance and most have developed and published a sustainability strategy
ii) Over half of signatories describe the governance and systems for managing E&S risks, including risk reporting is provided up to investment committee, and areas of operational risk management. 
iii) All signatories measure the environmental impact of their corporate operations but are less advanced in terms of disclosing portfolio information.  
","Implementation of GIP by signatories","Outcome 2. 'Recommendation implemented'","Outcome","2020 Q3","Approved","22-Oct-2020 09:19:09","3814659000000542003",1,"In_reported","Signatories implement GIP.","Component 1: bilateral programme fund","20-Dec-2018","Currently unknown",TRUE,"Outcomes",6,"City of London","China","Component 1: bilateral programme fund","3814659000000044099","Yes"
"139","Operational and environmental sustainability of solid waste management projects","At the end of 2019, the project conducted an assessment of the SWM Regulatory Framework in Mexico. The main findings of the assessment are: i) there is a lack of basic infrastructure in the country, mainly sanitary landfills; ii) municipalities lack managerial capabilities; iii) there are insufficient public budgets dedicated to SWM; and iv) there is a lack of co-responsibility in all government levels regarding problem-solving and the implementation of public policies. 
This assessment conformed the basis of a series of recommendations for potential structural reform of the sector, which will become the core of a White Paper once they have been discussed and socialised. 
","Solid waste management regulatory framework assessment ","Output 3.1. 'Knowledge product developed'","Output","2019 Q4","Approved","22-Oct-2020 12:17:49","3814659000000481023",1,"In_reported","Assessment of the existing regulatory framework for solid waste management (including consultation with key stakeholders) to identify necessary regulatory reforms.  ","Component 1: bilateral programme fund","15-Sep-2019","Currently unknown",TRUE,"Output 3: Knowledge generated and disseminated",3,"ARUP","Mexico","Component 1: bilateral programme fund","3814659000000032175","Yes"
"140","Operational and environmental sustainability of solid waste management projects","Q4 2019
A memorandum summarizing the Municipal Solid Waste Programme (PRORESOL)'s key deficiencies and opportunities was produced at the end of 2019. The goal was to have a better general understanding of the context of the SWM sector in Mexico and to identify the main barriers for PRORESOL’s work.  
To conduct this task, ARUP undertook a desk-based secondary data research and administered over 40 interviews to strategic organizations in the sector. 
The memorandum starts by questioning the objective of PRORESOL, which is to address a market failure or lack of financing in the SWM sectors. The results indicate that the private sector is already providing financing to the SWM, but the key problem is that municipalities do not have any incentives to do the right thing: charge user fees to obtain additional financing, comply with the environmental regulations, etc. because there is an institutional void.
The key outcome of this memorandum is a series of recommendations on what the new PRORESOL guidelines could look like. Results and recommendations are expected to be shared with key stakeholders in the second quarter of 2020.
Q2 2020
Sharing and discussion of findings and recommendations is still pending.","Memorandum summarizing PRORESOL","Output 3.1. 'Knowledge product developed'","Output","2019 Q4","Approved","22-Oct-2020 12:26:52","3814659000000481027",1,"In_reported","Memorandum summarizing Municipal Solid Waste Programme (PRORESOL)'s key deficiencies and opportunities. This document will summarize the information gathered at meeting/interviews with key stakeholders (Banobras, SEMARNAT, municipalities, and private sector) to assess PRORESOL's existing challenges and opportunities.","Component 1: bilateral programme fund","15-Sep-2019","Currently unknown",TRUE,"Output 3: Knowledge generated and disseminated",3,"ARUP","Mexico","Component 1: bilateral programme fund","3814659000000032175","Yes"
"141","Operational and environmental sustainability of solid waste management projects","Q3 2020
The initial reform recommendations deriving from the SWM Framework assessment were socialised through two webinars in September 2020. 
The first webinar was held with 11 attendees (4 female) from SEMARNAT and Banobras, and it served to assess the political, social, and economic viability of the legal changes initially proposed. The discussion showed that there seems to be an agreement that to change the municipal waste sector, a Constitutional Reform may be needed. 
The second webinar was hosted with 3 participants from SEMARNAT. During this webinar, the following agreements on the proposed legal changes were reached: 
1) A constitutional reform is needed to create independent SWM operators in large municipalities (more than 50,000 people). For smaller municipalities public agencies can work as an alternative.
2) The non-gratuity of the SWM service should be established to encourage municipalities to charge for the service. This measure should be accompanied by the establishment of an agency which can enforce implementation. 
3) Regulation should be created to guide the structuring of SWM tariffs.  
4) Enforcement of municipal compliance with the environmental law should be done via the Federal Government through the Procuraduría Federal de Protección al Ambiente (PROFEPA). This would require amending the list of responsibilities of the body, in order to include municipal SWM. 
The specific content of the White Paper will be based on the results of these socialisation activities.","Adoption of the structural reform of SWM sector","Int. Out 2. 'Adoption of recommendation for policy/legislation'","Intermediate Outcome","2020 Q3","Approved","23-Oct-2020 12:28:17","3814659000000543007",1,"In_reported","Structural reforms on the SWM sector are agreed upon. For examples, municipalities develop new SWM plans, or establish SWM fees. ","Component 1: bilateral programme fund","15-Sep-2019","Currently unknown",TRUE,"Intermediate Outcomes",5,"ARUP","Mexico","Component 1: bilateral programme fund","3814659000000032175","Yes"
"142","2030 sectorial decarbonisation plans<U+200B>","The development of a strong technical base (summarised in the document ‘2030 Sectoral Decarbonization plans’), coupled with the advocacy strategy implemented by the project, has put the concept of carbon budgets and decarbonization pathways on the political agenda of key stakeholders: 
1) the Climate Alliance of Mexican Governors (which gathers the 32 state governors), in its launching document, states the aim for each of the states to have their own 1.5°C/2°C carbon budget and sectoral decarbonization pathways. This is a clear example on how this output was referenced and adopted by key decision-makers. 
2) by their request, a conceptual note with the key findings of the 1.5°C/2°C national carbon budget was delivered to the General Direction for Climate Change at the federal Ministry of Environment, to be considered as input for the elaboration of the national strategy for climate change. 
3) by their request, ICM developed the Climate Strategy and Program for the Mexico City Government following the 1.5°C/2°C carbon budget and sectoral decarbonization pathways. 
4) ICM is also supporting the Government of Jalisco and the Government of Yucatán to develop their energy plans based on the decarbonization pathways. 
The incorporation of subnational governments into the climate change discussion comes at a particularly important time for the project. Especially when the federal government's political agenda regarding climate policy in the country has changed. The project began with a high buy-in from the government and with a very fluid dialogue, mainly with SEMARNAT. However, internal changes in SEMARNAT as well as the modifications of the Organic Statute of the National Institute of Ecology and Climate Change have affected the relationship with the government. The current political agenda is, therefore, creating not only barriers for the development of our project but for the opportunity to create strong decarbonization pathways for Mexico that will drive enhanced climate action. Uncertainty would describe the actual political agenda. The federal administration has rejected and delayed the technical and policy support given by the international cooperation agencies and the civil society organizations. However, within the NDC revision process that has officially started in May, this consortium will provide the inputs through the official communication processes. 
The incorporation of subnational governments, especially the government of Mexico City and the Climate Alliance of Mexican Governors (which gathers the 32 state governors), represents a boost to the project's objectives. The fact that the government of the most important subnational entity in the country and the main network addressing climate change, due to its size and economy, want to incorporate a carbon budget and the decarbonization routes as a pillar of its environmental policy, is undoubtedly a great achievement and represents strong pressure on the federal government to change its climate policy.","Agreement on the establihsment of three 2030 Sectoral Decarbonisation Pathways","Int. Out 2. 'Adoption of recommendation for policy/legislation'","Intermediate Outcome","2019 Q4","Approved","23-Oct-2020 12:56:26","3814659000000455047",1,"In_reported","Mexico will have three 2030 Sectoral Decarbonisation Pathways (for electricity, oil and gas, and transport)  elaborated under the framework of a preliminary deep decarbonized 1.5°C/2°C -based 2050 National Carbon Budget - providing support for decision making on policy design and the definition of implementation pathways for the country to increase mitigation ambition","Component 1: bilateral programme fund","01-Apr-2019","2020 Q2",TRUE,"Intermediate Outcomes",5,"Iniciativa Climatica MX	","Mexico","Component 1: bilateral programme fund","3814659000000032167","Yes"
"143","2030 sectorial decarbonisation plans<U+200B>","ICM developed a study on international best practices and lessons learned in setting a carbon budget and elaborating sectorial decarbonization pathways. The title of the document was '2030 Sectoral Decarbonization Plans: rational for a National Carbon Budget'.
The technical assessment included the UK's experience (ACT2018/5y-carbon budgets). This document provided the basis for the recommendation proposal on how to adapt the UK’s best practices into the Mexican context. This document is the technical and conceptual proposal that supports the recommendation which identifies the routes and policy actions that must be followed to achieve the development of a new environmental public policy based on a carbon budget and sectoral decarbonization routes. 
The technical-based inputs provided are intended to help to improve the understanding of how to design and implement mitigation policies to support the medium and long-term climate agenda, adding value to the rest of the projects supported by various UK programmes and other bilateral and international cooperation agencies’ efforts.
The value of this study was strengthened by the skill-shares programme, ICM documented the UK's experience and had the opportunity to access to high-level policymakers and researchers leading the global and national carbon budget/climate agenda: Julia King, Vice-Chair of the Committee on Climate Change; David Joffe, Team Leader of the UK Committee on Climate Change; Prof. Corinne Le Quéré, member of the UK Committee on Climate Change and Chair of France’s first Climate Committee, and Dr. Joeri Rogelj, Lecturer in Climate Change and the Environment at the Grantham Institute at Imperial College London, and Senior Research Scholar at the International Institute for Applied Systems Analysis (IIASA). As a result, ICM identified key technical and political elements that could be used to replicate the British experience in the Mexican context.
According to ICM, this document is very relevant for the current Mexican political context in which the tension between the climate and the fossil fuel agendas has seriously jeopardized climate action towards the Paris Agreement's accomplishment. Key problems in the climate action agenda still need to be tackled to place the country’s emissions below the 1.5°C pathway. Thus, to overcome this challenge, it is necessary to establish a solid technical basis for a revised policy making and advocacy strategy. This study aims to provide these technical based inputs by assessing what is needed for the 1.5°C scenario (carbon budget) and what can be done to fill the gaps by identifying a cost-effective mitigation portfolio (decarbonization pathways). ","Document on best practices on developing carbon budgets","Output 3.1. 'Knowledge product developed'","Output","2019 Q2","Approved","23-Oct-2020 13:13:35","3814659000000290003",1,"In_reported","Elaborate a document which analyses the UK experience in developing carbon budgets and their five-yearly sectoral decarbonization plans. Exemplify how this experience could be replicated for the Mexican scenario. This will include interviews with the UK’s Committee on Climate Change. This document will conform the rationale behind technical-based policy design recommendations on how Mexico can best integrate UK's experience. ","Component 1: bilateral programme fund","01-Apr-2019","2019 Q2",TRUE,"Output 3: Knowledge generated and disseminated",3,"Iniciativa Climatica MX	","Mexico","Component 1: bilateral programme fund","3814659000000032167","Yes"
"144","2030 sectorial decarbonisation plans<U+200B>","Q4 2019 
The main goal of ICM’s project was to estimate a preliminary 1.5°C/2°C-based 2050 National Carbon Budget and elaborate three sectoral decarbonization pathways with the aim of strengthening climate policy planning and policymaking, as well as to increase climate ambition in Mexico. To support the consecution of this target, ICM developed an Advocacy Strategy and Toolkit for positioning Mexico´s 2030 sectoral decarbonization plans. The strategy which covered: i) key indicators, ii) a stakeholders map, iii) description of opportunities and barriers, iv) tailored narratives for each of the targets, v) potential core activities and timelines, vi) an advocacy planning worksheet and advocacy procedures criteria, and vii) a risk assessment template. 
In general, the advocacy strategy establishes the activities and instruments which would support the successful implementation of these plans within the existing policy and political conditions. The strategy describes how to deliver the project’s outputs to decisionmakers and key stakeholders, including the federal government, subnational governments, the legislative branch, both the Chamber of Representatives (Low Chamber) and Senate (High Chamber), and private and academic sector representatives. The advocacy strategy aims to:
i) put forward the project’s outputs to support and inform relevant climate change public debates, for example, the discussion surrounding the development of the National Strategy for Climate Change, the Special Programme for Climate Change and the estimation of Mexico's enhanced Nationally Determined Contribution to be submitted in 2020 to the UNFCCC; 
ii) share the technical and policy inputs with representatives of international cooperation agencies working to address the climate change agenda in Mexico; 
iii) enhance coordination and promote skills development with stakeholders and decisionmakers in the UK involved in the net-zero and carbon budgets policy development; and  
iv) improve understanding on how to design and implement mitigation policies to support the medium and long-term climate agenda, adding value to the rest of the projects supported by various UK programmes and other bilateral and international cooperation agencies’ efforts.
Q2 2020
To support this advocacy strategy, a policy brief with the preliminary findings of the carbon budget, the sectoral carbon budgets and the three decarbonization pathways was drafted in the second quarter of 2020. 
Q3 2020 
The policy brief was sent formally to the Ministry of Environment on July 3rd, 2020 to be considered as input for the revision of the NDC. It is expected that the NDC update process will be completed by the end of August and will be submitted to the Climate Change Intersectoral Commission for its approval and to the UNFCCC on the same month or by September.","Advocacy strategy to position the sectoral pathways","Output 2.1. 'Recommendation proposed for policy/legislation'","Output","2019 Q4","Approved","23-Oct-2020 14:23:06","3814659000000481015",1,"In_reported","Design and implement an advocacy strategy to position the sectoral pathways: i) follow up strategy, to include assessment of key indicators, and include a six-year review and evaluation mechanisms; ii) elaborate a policy brief with the preliminary findings of the sectoral carbon budgets and the implementation of the decarbonization pathways.","Component 1: bilateral programme fund","01-Apr-2019","2020 Q1",TRUE,"Output 2: Recommendations proposed",2,"Iniciativa Climatica MX	","Mexico","Component 1: bilateral programme fund","3814659000000032167","Yes"
"145","2030 sectorial decarbonisation plans<U+200B>","Q3 2019
ICM developed recommendations for the sectoral decarbonization routes of the electricity, transport, and oil and gas sectors. The recommendations were compiled on a document titled ‘2030 Sectoral Decarbonization plans: estimation of a National Carbon Budget and proposed index methodology for the sectoral decarbonization pathways’.
The recommendations were based on a study that includes the British experience and the top-tiered methodologies used in the rest of the world for the development of carbon budgets, as well as on a model developed to calculate the carbon budget for Mexico aligned to the 1.5°C / 2°C pathways. The calculation was based on Mexico's historical contribution and available data.
The results of this study provide the technical elements which can constitute the basis for the construction of a new public policy in relation to climate change in Mexico. The carbon budget and the decarbonization routes represent a change of approach with respect to how climate policy has been carried out in the country. The study allows decision-makers to understand what it represents in economic and technical terms for Mexico to comply with a carbon budget aligned to a 1.5°C/ 2°C pathway. The study targets decision-makers for them to identify the projects that each sector could implement to achieve compliance with the budget; and to identify the best cost-efficient measures to meet Mexico´s mitigation goals.
This technical research includes a deep assessment of the electricity sector using PLEXUS (a model to optimize power sector scenarios based on costs). For transport, a policy-based simulator model (EPS) was applied. The model TIMES has been acquired by ICM to make an initial assessment for the integration of the sectors. 
The main modules of the report are: 
i) Climate science and the concept of the carbon budget. Geophysical relation between global temperature increase and accumulated CO2 emissions, modelling of climate and societal activities, and carbon budget definition and characteristics.
ii) Estimation of a carbon budget for Mexico. Assessment of the conditions to estimate a carbon budget, the 2°C and 1.5°C carbon budgets, and carbon budget sectoral allocation. 
iii) Electricity sector decarbonization pathway. Regulatory framework, electric infrastructure, electricity mix, carbon budget for the sector, mitigation measures and cost analysis, and decarbonization pathway. 
iv) Oil and gas sector decarbonization pathway. Background of the oil industry, regulatory framework, oil, natural gas and oil products production, energy consumption and GHG emissions, future development of the oil and gas sector and the carbon budget, economic assumptions, mitigation measures and cost analysis, and decarbonization of the oil and gas sectors; and 
v) Transport sector decarbonization pathway. Research approach and regulatory framework, BAU and carbon budget; transportation sector GHG emissions projections and cost analysis, and decarbonization pathway of the transport sector.
Q3 2020
In August 2020, a final event to present the technical document took place, with the participation of more than 190 people.","2030 Sectoral Decarbonization plans","Output 2.1. 'Recommendation proposed for policy/legislation'","Output","2019 Q3","Approved","23-Oct-2020 14:26:56","3814659000000359303",1,"In_reported","Elaborate the sectoral decarbonization pathways for the sectors of transport, electricity, and oil and gas. Estimate the emissions cap by 2030, expressed in tonCO2e, based on 1.5°/2°C National Carbon Budgets; review and assess sectoral emissions and methodologies to estimate emission projection, ambition, and progress; define the mitigation portfolio, including costs, risks, benefits;  identify the public policy portfolio, including feasibility assessment and a priority analysis; identify barriers /obstacles for implementation, including social, environmental, ","Component 1: bilateral programme fund","01-Apr-2019","2020 Q1",TRUE,"Output 2: Recommendations proposed",2,"Iniciativa Climatica MX	","Mexico","Component 1: bilateral programme fund","3814659000000032167","Yes"
"146","Green private finance for the development of smart cities","Initially, the project had planned to deliver a final event for the dissemination of results. However, the emergency created by COVID-19 made it impossible. 
As an alternative, the project prepared a report which describes the methodology developed and lessons learned throughout the project implementation. The document also presents four case studies of the most successful projects. 
The title of the document is ‘Green Private Finance for the development of Smart Cities in Mexico’, and is available in English and Spanish at IDOM’s website.
Spanish version site: https://www.idom.com/es/noticia/financiacion-verde-una-oportunidad-para-las-ciudades/
English Version site:
https://www.idom.com/new/financiacion-verde-una-oportunidad-para-las-ciudades/

","Dissemination of results","Output 3.2. 'Communication product disseminated'","Output","2020 Q2","Approved","23-Oct-2020 14:41:41","3814659000000517019",1,"In_reported","Although a final event had been initially planned, the COVID-19 emergency triggered changes for this output. Project results will be disseminated through a report and case studies which will be socialised across different platforms. ","Component 1: bilateral programme fund","01-Mar-2019","2020 Q1",TRUE,"Output 3: Knowledge generated and disseminated",3,"IDOM","Mexico","Component 1: bilateral programme fund","3814659000000032147","Yes"
"147","Supporting Mexico’s Green Finance Hub<U+200B>","Training workshops, the case studies report, and the delivery of networking events have triggered an interest on ESG investment. A good example of this increased awareness was that at the beginning of 2020, the project reported that at least four green issuances were being prepared and were expected in the upcoming months: two from a housing company (Vinte) and two by a development bank to support infrastructure development by subnational entities.","Increased interest on ESG investment across investors","Int. Out 1. 'Enhanced action because of training'","Intermediate Outcome","2020 Q1","Approved","23-Oct-2020 17:08:53","3814659000000493015",1,"In_reported","All outputs are interrelated and work together to increase awareness on ESG risks in the Mexican financial community -especially asset managers- to incentivize ESG investment. As fiduciaries, investors can make an important contribution to achieving a fast transition to a low carbon economy, as stewards of assets, allocators of capital, and as influential voices in public policy.","Component 1: bilateral programme fund","01-Apr-2019","2020 Q2",TRUE,"Intermediate Outcomes",5,"MexiCO2","Mexico","Component 1: bilateral programme fund","3814659000000032143","Yes"
"148","2030 sectorial decarbonisation plans<U+200B>","A public event to present the key findings of the document '2030 Sectoral Decarbonization plans: estimation of a National Carbon Budget and proposed index methodology for the sectoral decarbonization pathways', as well as the related policy brief took place at the end of August. The event counted with the participation of a representative of UK PACT in Mexico, and representatives from the implementing consortium. More than 190 participants attended the event.","Public event to present new findings","Output 3.2. 'Communication product disseminated'","Output","2020 Q3","Approved","23-Oct-2020 17:22:29","3814659000000549011",1,"In_reported","Carry out a public event to present the key findings and the policy brief.","Component 1: bilateral programme fund","01-Apr-2019","2020 Q1",TRUE,"Output 3: Knowledge generated and disseminated",3,"Iniciativa Climatica MX	","Mexico","Component 1: bilateral programme fund","3814659000000032167","Yes"
"149","Supporting Mexico’s Green Finance Hub<U+200B>","The project provided three ESG courses to key stakeholders. The material of the training included an ESG guide for institutional investors that was drafted, edited, and printed to be used during the training activities and later shared with the broader Mexican financial community. The document included international best practices on ESG and renewed analysis methodologies that include environmental and social impacts measures. It is one of the few publications on ESG incorporation to investment decisions published in Spanish.
The importance of this training comes from the fact that Mexican institutional investors have little or no knowledge on climate change risks, mitigation strategies and how to incorporate ESG into investment decision making processes. This course was the very first grasp of the subject to many of them and aimed to help them achieve a more open environment for ESG and awareness of the need to incorporate green mandates, following international trends.
The first edition of the training on ESG was successfully carried out from 9th to 12th of September 2019 at the Mexican Stock Exchange premises. 
The training was attended by 36 participants. No information on gender was provided. 
The second edition of the training on ESG was successfully carried out from November 11th to 14th, 2019 at the Mexican Stock Exchange premises. 
The training was attended by 37 participants. No information on gender was provided. 
The third edition of the training on ESG was successfully carried out from April 27th to 30th, 2020 but online instead of in-person (because of the COVID-19 pandemic).
The training was attended by 67 participants. No information on gender was provided. 
Training speakers included representatives from relevant international and national organisations, such as: Afore Sura, Banorte, Banxico BlackRock, CBI, EY, MSCI, Vinte, Rotoplas, among others.
Across trainings, participant institutions included pension funds, institutional investors, insurance companies, market experts and investment and development banks. All editions of the ESG training were 60% over demanded by institutional investors, showing the interest in the topic.","Training for institutional investors on environmental risks and decision making","Output 1. 'Training of key actors'","Output","2020 Q2","Approved","27-Oct-2020 10:23:31","3814659000000361017",1,"In_reported","Training for institutional investors, developed to provide industry-leading training needed to understand how environmental risks impact company performance, shareholder value and investment decision making. ","Component 1: bilateral programme fund","01-Apr-2019","2019 Q2",TRUE,"Output 1: Skills enhanced",1,"MexiCO2","Mexico","Component 1: bilateral programme fund","3814659000000032143","Yes"
"150","Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies","The project held the CDP China Launch Event on July 29th, 2020 followed by a side event on July 30th, 2020. A total of 26 panellists (12 female) attended the event, which was broadcasted live to a total of 70,000 people.  
The panellists belonged to 22 different organisations. Among others: the Ministry of Ecology and Environment, the Sustainability Accounting Standards Board (SASB), People’s Bank of China, Industrial and Commercial Bank of China (ICBC), and insurance companies. 
On the main event, the project presented CDP’s China 2019 Annual Report, which contains the main findings regarding ESG disclosure among the 48 listed companies which reported to CDP about their TCFD disclosures. There were also discussions on the role of green finance for the economy recovery after COVID-19, and corporate sustainability. The focus of the side event was financial disclosure and ESG investment.  ","Event for investors engagement","Output 3.2. 'Communication product disseminated'","Output","2020 Q3","Approved","28-Oct-2020 16:41:08","3814659000000557007",1,"In_reported","Host a side event with both UK and China investors to showcase key findings of the white paper and introduce CDP's 2020 financial sector questionnaire and related guidance. ","Component 1: bilateral programme fund","10-Dec-2018","2020 Q2",TRUE,"Output 3: Knowledge generated and disseminated",3,"CDP","China","Component 1: bilateral programme fund","3814659000000044227","Yes"
"151","Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies","The project held the CDP China Launch Event on July 29th, 2020 followed by a side event on July 30th, 2020. A total of 26 panellists (12 female) attended the event, which was broadcasted live to a total of 70,000 people.  
The panellists belonged to 22 different organisations. Among others: the Ministry of Ecology and Environment, the Sustainability Accounting Standards Board (SASB), People’s Bank of China, Industrial and Commercial Bank of China (ICBC), and insurance companies. 
On the main event, the project presented CDP’s China 2019 Annual Report, which contains the main findings regarding ESG disclosure among the 48 listed companies which reported to CDP about their TCFD disclosures. There were also discussions on the role of green finance for the economy recovery after COVID-19, and corporate sustainability. The focus of the side event was financial disclosure and ESG investment.  ","Event for the 2019 China Annual Report","Output 3.2. 'Communication product disseminated'","Output","2020 Q3","Approved","28-Oct-2020 16:46:16","3814659000000557003",1,"In_reported","Host an event showcasing findings of the 2019 China Annual Report, which focuses on achievements to date, and updates on green finance in China. ","Component 1: bilateral programme fund","10-Dec-2018","2020 Q2",TRUE,"Output 3: Knowledge generated and disseminated",3,"CDP","China","Component 1: bilateral programme fund","3814659000000044227","Yes"
"152","Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies","[PARTIALLY ACHIEVED]
Q3 2020 
Three Chinese mass-media outlets published CDP’s findings to raise public awareness about financial institutions' readiness for advanced disclosure requirements. In particular, Sina, Sohu and GFC Media Group. ","Five UK and five Chinese mass-media outlets publishing CDP’s press releases","Output 3.2. 'Communication product disseminated'","Output","2020 Q3","Approved","28-Oct-2020 16:50:40","3814659000000557011",1,"In_reported","At least five UK and five Chinese mass-media outlets publishing CDP’s press releases to raise public awareness about financial institutions' readiness for advanced disclosure requirements. ","Component 1: bilateral programme fund","10-Dec-2018","2020 Q2",TRUE,"Output 3: Knowledge generated and disseminated",3,"CDP","China","Component 1: bilateral programme fund","3814659000000044227","Yes"
"153","Advancing the UK - China’s Green Finance agenda through disclosure and demand-led capacity building for both financial firms and listed companies","On September 17th, 2020 a CDP representative (Sabrina Zhang) attended the Green Finance Committee’s annual event as panelist, where she presented trends on environmental disclosure. This event was attended by more than 300,000 people online. About 60 institutions attended the event, including CDP, MSCI, Amudi, S&P, CFA Institute and E&Y. Names of institutions was shown at the bottom of the article in Chinese.","Participation on the UK-China Taskforce Conference","Output 3.2. 'Communication product disseminated'","Output","2020 Q3","Approved","29-Oct-2020 15:30:31","3814659000000557015",1,"In_reported","Participatory contribution of a senior CDP member in the UK-China Taskforce Conference. ","Component 1: bilateral programme fund","10-Dec-2018","2020 Q2",TRUE,"Output 3: Knowledge generated and disseminated",3,"CDP","China","Component 1: bilateral programme fund","3814659000000044227","Yes"
